Assignment Title	Hyperlink Title     Zoom Link
CSCI-10B-Video-Links-S26	Test1 Preview, Grading, Test 1 Replacement Questions	https://mpc-edu.zoom.us/rec/share/M8FYMYq4TQ8jsYCVYbR8scLPe4PZ0c3otZyID1wzzqh2qnMuUDggVTyBQfIBeP1M.wTnTAfRw5nnfQSS0?startTime=1771886615000
CSCI-10B-Video-Links-S26	Lab 4A - Queues	https://mpc-edu.zoom.us/rec/share/6vZ6KwBaAXRNhC1Rujp3So8UIHU9-NM1mhQv_Eir0vKrjXfHCMB9NaXNAX6XL7iQ.bIhvPfoQcxz8xPK5?startTime=1771887399000
CSCI-10B-Video-Links-S26	Lab 4B - Lists	https://mpc-edu.zoom.us/rec/share/tKwYmWx_2htl_DRon1C1yWrOOO70DUayolJB7guwBMOo4H62sWJVeu3RaiFxPhst.kLO6KpO2F3CbrIDp?startTime=1772059455000
CSCI-10B-Video-Links-S26	Practice Test 1 Solutions Review	https://mpc-edu.zoom.us/rec/share/4WSbfNWjTjPrSNkCEUMyZkwHCX9EiQHJIbvDhegr53wRukFLReLSSDHgknCd2fVb.F-Z5I69FQ1pzZZD9?startTime=1772498364000
CSCI-10B-Video-Links-S26	Accounts set up in older assessment drill platform	https://mpc-edu.zoom.us/rec/share/4WSbfNWjTjPrSNkCEUMyZkwHCX9EiQHJIbvDhegr53wRukFLReLSSDHgknCd2fVb.F-Z5I69FQ1pzZZD9?startTime=1772497972000
CSCI-10B-Video-Links-S26	Misc items on zyBooks and Practice Test 1	https://mpc-edu.zoom.us/rec/play/OWz4l8QkT5bZVM-Bsc15pSWYIf5D9A7knwl3QqWc75vLoZKNvQr9mQfV6sTq6QtD5fXEtwNt7xvLlwdW.JG1lp9fr1Hld9OXg?autoplay=true&startTime=1772501570000
CSCI-10B-Video-Links-S26	Lab 5A - Building the ArrayBag Class	https://mpc-edu.zoom.us/rec/share/ENb0rsMsAAfJBSNo0u3GqH3XhpXQTGFY4RMMtQojXXgQIQBZtK7Ty0a_RffRVmnY.eFMTBmGmeZcpM4yY?startTime=1773092652000
CSCI-10B-Video-Links-S26	Lab 5B - Building the ArrayList Class	https://mpc-edu.zoom.us/rec/share/xB_P-93sPsdPcuYje7KS2FDbSOrmIPSG833IX8mi3CMQV9gb2pxHMJbJ6_NFFjcQ.DnvlKjbkDHgO3K_X?startTime=1773266929000
CSCI-10B-Video-Links-S26	Test 1 Solutions and Replacement Questions	https://mpc-edu.zoom.us/rec/share/xB_P-93sPsdPcuYje7KS2FDbSOrmIPSG833IX8mi3CMQV9gb2pxHMJbJ6_NFFjcQ.DnvlKjbkDHgO3K_X?startTime=1773265606000
CSCI-10B-Video-Links-S26	Lab 6A - Building the LinkedBag Class	https://mpc-edu.zoom.us/rec/share/7MWfFCoN9BhxTtxkSOroNZjAwvf31dIKpJUiWXFB3Nz3H1FeeLcbjg8A3mU-UBDb.0NnVjhKFy2pGfSpM?startTime=1773697176000
CSCI-10B-Video-Links-S26	Lab 6B - Building the LinkedList Class	https://mpc-edu.zoom.us/rec/share/qp7ftHiAl11WYRe4QxpVnJYDc1Qi_xFjTjg4IT1LXUomp2SN21LEvu-atCO3gPqg.KR7P8kaglQrSJuP5?startTime=1773869846000
CSCI-10B-Video-Links-S26	Lab 7A - Sorting and Searching Arrays Using Arrays.java	https://mpc-edu.zoom.us/rec/share/KFt-HIdQKFZVcIal8ppjGdOJTowOaUUxMWENzeIfiDiil91xPEtOW90B2c0gQMVB.Mn2oEb19PFeGMohn
CSCI-10B-Video-Links-S26	Lab 7B - Big-O	https://mpc-edu.zoom.us/rec/share/SUnJlrZDiF8P7UuDlVk-bUNARhQlE_DX8gRAp9_lNlzbxpT1cxzOuRS535Si2M7w.4eWiD1Mv5y6vXYjw?startTime=1775079721000
CSCI-10B-Video-Links-S26	Lab 7C - Sorting Algorithms	https://mpc-edu.zoom.us/rec/share/SUnJlrZDiF8P7UuDlVk-bUNARhQlE_DX8gRAp9_lNlzbxpT1cxzOuRS535Si2M7w.4eWiD1Mv5y6vXYjw?startTime=1775084634000
CSCI-10B-Video-Links-S26	Lab 8A - Recursion	https://mpc-edu.zoom.us/rec/share/4JtHMf1RgGNPTYpNoP91l1V7gcC1jHxngkIvYN3RruhZPxBPLyaP0n-6Ldu-tQ.En7H_lqeg7Br6i7J?startTime=1775511588000
CSCI-10B-Video-Links-S26	Announcements	https://mpc-edu.zoom.us/rec/share/bEv9Ka6JEFI1QU-bvAZ08yPKZqLUEir45UFxGCSie_LPLP4TzOM66B3NaMatFTiG.cAJqZzTICYH4zwAD?startTime=1775684491000
CSCI-10B-Video-Links-S26	Preview for Test 2	https://mpc-edu.zoom.us/rec/share/bEv9Ka6JEFI1QU-bvAZ08yPKZqLUEir45UFxGCSie_LPLP4TzOM66B3NaMatFTiG.cAJqZzTICYH4zwAD?startTime=1775684750000
CSCI-10B-Video-Links-S26	Lab 8B - Recursion in Advanced Sorting, Hints on zyLab 8.1 m	https://mpc-edu.zoom.us/rec/share/zHgTKleDCuQbBwpBSVzafA46cRdY5pE2pwP6duBiKaFUyC42Zy50FKRJgsDbJGIi.JeAeOHtwxzlHlwKd?startTime=1775686001000
CSCI-10B-Video-Links-S26	Practice Test 2 Solutions + Alumni Zoom Visit	https://mpc-edu.zoom.us/rec/share/IwsPKIFJKw9hrWVpSfVpAY96nonz8YwlYjaPx9R1HqNIDQxAYYmT5hnQxHaPRRPE.B54cBSmNwpze464a?startTime=1776124111000
CSCI-10B-Video-Links-S26	Alumni Zoom Visit	https://mpc-edu.zoom.us/rec/play/S08VN5PsNb7foRvIvrdUZbb4yGOS5ErxgsIXjoa0JqfcamrXJtaVrjUcr33uMa1p1NS6J6uNLXIN5H0x.2HcYJKAcp0Kp-lAD
CSCI-10B-Video-Links-S26	MPC award-winning team project from CSUMB Hackathon!	https://mpc-edu.zoom.us/rec/share/IU4bqsgPTryA7zx3lOgGQtYkg-zVOsZuOZP0s2b4DlOz8g_PJ7PZy-I0rq4BprRN.PbqgAXDmuZ3MiKFR?startTime=1776721123000
CSCI-10B-Video-Links-S26	Final Project Overview	https://mpc-edu.zoom.us/rec/share/IU4bqsgPTryA7zx3lOgGQtYkg-zVOsZuOZP0s2b4DlOz8g_PJ7PZy-I0rq4BprRN.PbqgAXDmuZ3MiKFR?startTime=1776721517000
CSCI-10B-Video-Links-S26	Lab 9A - Iterators	https://mpc-edu.zoom.us/rec/share/IU4bqsgPTryA7zx3lOgGQtYkg-zVOsZuOZP0s2b4DlOz8g_PJ7PZy-I0rq4BprRN.PbqgAXDmuZ3MiKFR?startTime=1776723127000
CSCI-10B-Video-Links-S26	Lab 9B - Sorted Lists	https://mpc-edu.zoom.us/rec/share/rbIwP83x6vwJD_Y56uSyMdhAusGyFvxLVrbUvHKY3v9U2N4rn7zIbA_Up-kVGtvt.BzII8CawZ7PPtSY2?startTime=1776895701000
CSCI-10B-Video-Links-S26	Test 2 Solutions	https://mpc-edu.zoom.us/rec/share/rbIwP83x6vwJD_Y56uSyMdhAusGyFvxLVrbUvHKY3v9U2N4rn7zIbA_Up-kVGtvt.BzII8CawZ7PPtSY2?startTime=1776894042000
CSCI-10B-Video-Links-S26	Lab 10A - Dictionaries	https://mpc-edu.zoom.us/rec/share/MsQBQFrTHjowTjXCivWQ9GdPGzocwKLwnuvl8pymBbQAR8oQglgPEFnuePI-yMA.zwY2G6N2M9CGxvwN?startTime=1777326641000
CSCI-10B-Video-Links-S26	New Final Project Option: Word Succession Graph	https://mpc-edu.zoom.us/rec/share/MsQBQFrTHjowTjXCivWQ9GdPGzocwKLwnuvl8pymBbQAR8oQglgPEFnuePI-yMA.zwY2G6N2M9CGxvwN?startTime=1777326071000
